11,7,6,6,8,9,5,8,4,5
8,3,6,11,8,6,5,8,3,11
7,7,9,8,8,6,6,13,10,9
8,12,6,7,10,8,7,5,11,7
3,7,9,9,7,6,9,7,7,9
9,9,9,12,9,7,8,7,7,5
6,10,7,7,3,7,11,5,11,7
4,4,8,7,9,5,8,5,8,10
5,5,6,3,5,5,4,5,9,11
7,7,4,9,5,8,6,6,3,4
6,5,10,5,6,5,6,6,6,9
8,7,3,9,6,9,4,6,11,6
9,10,3,6,5,7,9,5,10,7
4,7,7,5,5,8,9,8,4,5
7,8,9,7,5,6,6,9,5,6
8,9,7,9,6,9,6,3,6,9
7,8,7,6,7,8,7,11,9,8
5,6,8,7,8,4,14,11,10,14
8,5,11,9,10,7,5,12,4,5
12,6,9,5,11,6,7,8,18,6
10,7,7,11,7,10,5,8,6,7
4,8,4,11,5,9,6,9,3,14
10,12,9,6,11,14,8,6,10,9
8,7,6,6,9,8,8,3,11,6
9,10,7,5,11,7,6,9,16,12
8,8,7,18,10,7,14,12,8,11
8,12,6,9,6,8,9,8,8,6
4,3,11,4,5,6,10,9,12,6
4,8,9,9,14,8,8,5,6,10
4,7,4,8,6,5,6,3,8,9
7,7,10,3,4,7,7,7,10,9
7,7,11,6,9,8,7,3,0,0
6,7,11,10,8,6,4,6,9,7
10,13,10,9,7,10,6,3,14,11
7,5,5,9,7,4,5,8,5,11
2,0,7,6,8,6,8,9,4,9
16,6,7,0,13,5,6,3,7,9
7,8,9,11,9,3,6,8,5,9
4,7,0,10,9,6,6,6,8,5
6,5,5,6,5,5,19,8,9,5
9,9,5,9,5,8,12,6,11,7
11,7,8,6,6,9,10,5,8,7
5,10,10,3,4,3,8,6,3,6
4,14,12,7,12,7,9,9,7,13
9,6,8,8,9,13,6,6,11,6
4,12,10,8,10,5,8,6,8,10
3,8,14,10,12,8,5,7,9,4
10,8,8,4,5,6,8,8,9,9
4,7,7,6,11,5,7,6,5,8
9,10,0,10,5,11,10,12,7,6
8,4,13,6,5,11,7,6,11,8
7,11,10,4,9,11,16,6,9,6
0,6,9,6,10,6,10,9,9,8
7,9,15,5,0,7,4,8,12,6
14,13,6,8,12,8,7,8,7,8
